Name,Team,nAtBat,nHits,nHome,nRuns,nRBI,nBB,YrMajor,CrAtBat,CrHits,CrHome,CrRuns,CrRbi,CrBB,League,Division,Position,nOuts,nAssts,nError,Salary,Div,logSalary,in_fielder,out_fielder,catcher,CrHits2
"Landreaux, Ken",Los Angeles,283,74,4,34,29,22,10,3919,1062,85,505,456,283,National,West,OF,145,5,7,737.5,NW,6.6032660882,0,1,0,1127844
"McReynolds, Kevin",San Diego,560,161,26,89,96,66,4,1789,470,65,233,260,155,National,West,CF,332,9,8,625,NW,6.4377516497,0,1,0,220900
"Mitchell, Kevin",New York,328,91,12,51,43,33,2,342,94,12,51,44,33,National,East,OS,145,59,8,125,NE,4.8283137373,0,0,0,8836
"Moreland, Keith",Chicago,586,159,12,72,79,53,9,3082,880,83,363,477,295,National,East,RF,181,13,4,1043.333,NE,6.9501756754,0,1,0,774400
"Oberkfell, Ken",Atlanta,503,136,5,62,48,83,10,3423,970,20,408,303,414,National,West,3B,65,258,8,725,NW,6.5861716549,1,0,0,940900
"Phelps, Ken",Seattle,344,85,24,69,64,88,7,911,214,64,150,156,187,American,West,DH,0,0,0,300,AW,5.7037824747,0,0,0,45796
"Puckett, Kirby",Minneapolis,680,223,31,119,96,34,3,1928,587,35,262,201,91,American,West,CF,429,8,6,365,AW,5.8998973536,0,1,0,344569
"Stillwell, Kurt",Cincinnati,279,64,0,31,26,30,1,279,64,0,31,26,30,National,West,SS,107,205,16,75,NW,4.3174881135,1,0,0,4096
"Durham, Leon",Chicago,484,127,20,66,65,67,7,3006,844,116,436,458,377,National,East,1B,1231,80,7,1183.333,NE,7.0760903121,1,0,0,712336
"Dykstra, Len",New York,431,127,8,77,45,58,2,667,187,9,117,64,88,National,East,CF,283,8,3,202.5,NE,5.3107398865,0,1,0,34969
"Herndon, Larry",Detroit,283,70,8,33,37,27,12,4479,1222,94,557,483,307,American,East,OF,156,2,2,225,AE,5.4161004022,0,1,0,1493284
"Lacy, Lee",Baltimore,491,141,11,77,47,37,15,4291,1240,84,615,430,340,American,East,RF,239,8,2,525,AE,6.2633982626,0,1,0,1537600
"Matuszek, Len",Los Angeles,199,52,9,26,28,21,6,805,191,30,113,119,87,National,West,O1,235,22,5,265,NW,5.579729826,0,0,0,36481
"Moseby, Lloyd",Toronto,589,149,21,89,86,64,7,3558,928,102,513,471,351,American,East,CF,371,6,6,787.5,AE,6.6688633707,0,1,0,861184
"Parrish, Lance",Detroit,327,84,22,53,62,38,10,4273,1123,212,577,700,334,American,East,C,483,48,6,800,AE,6.6846117277,0,0,1,1261129
"Parrish, Larry",Texas,464,128,28,67,94,52,13,5829,1552,210,740,840,452,American,West,DH,0,0,0,587.5,AW,6.375876246,0,0,0,2408704
"Rivera, Luis",Montreal,166,34,0,20,13,17,1,166,34,0,20,13,17,National,East,SS,64,119,9,,NE,,1,0,0,1156
"Sheets, Larry",Baltimore,338,92,18,42,60,21,3,682,185,36,88,112,50,American,East,DH,0,0,0,145,AE,4.9767337424,0,0,0,34225
"Smith, Lonnie",Kansas City,508,146,8,80,44,46,9,3148,915,41,571,289,326,American,West,LF,245,5,9,,AW,,0,1,0,837225
"Whitaker, Lou",Detroit,584,157,20,95,73,63,10,4704,1320,93,724,522,576,American,East,2B,276,421,11,420,AE,6.0402547113,1,0,0,1742400
"Aldrete, Mike",San Francisco,216,54,2,27,25,33,1,216,54,2,27,25,33,National,West,1O,317,36,1,75,NW,4.3174881135,0,0,0,2916
"Barrett, Marty",Boston,625,179,4,94,60,65,5,1696,476,12,216,163,166,American,East,2B,303,450,14,575,AE,6.3543700408,1,0,0,226576
"Brown, Mike",Pittsburgh,243,53,4,18,26,27,4,853,228,23,101,110,76,National,East,OF,107,3,3,,NE,,0,1,0,51984
"Davis, Mike",Oakland,489,131,19,77,55,34,7,2051,549,62,300,263,153,American,West,RF,310,9,9,780,AW,6.6592939197,0,1,0,301401
"Diaz, Mike",Pittsburgh,209,56,12,22,36,19,2,216,58,12,24,37,19,National,East,O1,201,6,3,90,NE,4.4998096703,0,0,0,3364
"Duncan, Mariano",Los Angeles,407,93,8,47,30,30,2,969,230,14,121,69,68,National,West,SS,172,317,25,150,NW,5.0106352941,1,0,0,52900
"Easler, Mike",New York,490,148,14,64,78,49,13,3400,1000,113,445,491,301,American,East,DH,0,0,0,700,AE,6.551080335,0,0,0,1000000
"Fitzgerald, Mike",Montreal,209,59,6,20,37,27,4,884,209,14,66,106,92,National,East,C,415,35,3,,NE,,0,0,1,43681
"Hall, Mel",Cleveland,442,131,18,68,77,33,6,1416,398,47,210,203,136,American,East,LF,233,7,7,550,AE,6.3099182782,0,1,0,158404
"Hatcher, Mickey",Minneapolis,317,88,3,40,32,19,8,2543,715,28,269,270,118,American,West,UT,220,16,4,,AW,,0,0,0,511225
"Heath, Mike",St Louis,288,65,8,30,36,27,9,2815,698,55,315,325,189,National,East,C,259,30,10,650,NE,6.4769723629,0,0,1,487204
"Kingery, Mike",Kansas City,209,54,3,25,14,12,1,209,54,3,25,14,12,American,West,OF,102,6,3,68,AW,4.2195077052,0,1,0,2916
"LaValliere, Mike",St Louis,303,71,3,18,30,36,3,344,76,3,20,36,45,National,East,C,468,47,6,100,NE,4.605170186,0,0,1,5776
"Marshall, Mike",Los Angeles,330,77,19,47,53,27,6,1928,516,90,247,288,161,National,West,RF,149,8,6,670,NW,6.5072777124,0,1,0,266256
"Pagliarulo, Mike",New York,504,120,28,71,71,54,3,1085,259,54,150,167,114,American,East,3B,103,283,19,175,AE,5.1647859739,1,0,0,67081
"Salas, Mark",Minneapolis,258,60,8,28,33,18,3,638,170,17,80,75,36,American,West,C,358,32,8,137,AW,4.9199809258,0,0,1,28900
"Schmidt, Mike",Philadelphia,552,160,37,97,119,89,15,7292,1954,495,1347,1392,1354,National,East,3B,78,220,6,2127.333,NE,7.6626243615,1,0,0,3818116
"Scioscia, Mike",Los Angeles,374,94,5,36,26,62,7,1968,519,26,181,199,288,National,West,C,756,64,15,875,NW,6.7742238864,0,0,1,269361
"Tettleton, Mickey",Oakland,211,43,10,26,35,39,3,498,116,14,59,55,78,American,West,C,463,32,8,120,AW,4.7874917428,0,0,1,13456
"Thompson, Milt",Philadelphia,299,75,6,38,23,26,3,580,160,8,71,33,44,National,East,CF,212,1,2,140,NE,4.9416424226,0,1,0,25600
"Webster, Mitch",Montreal,576,167,8,89,49,57,4,822,232,19,132,83,79,National,East,CF,325,12,8,210,NE,5.3471075307,0,1,0,53824
"Wilson, Mookie",New York,381,110,9,61,45,32,7,3015,834,40,451,249,168,National,East,OF,228,7,5,800,NE,6.6846117277,0,1,0,695556
"Wynne, Marvell",San Diego,288,76,7,34,37,15,4,1644,408,16,198,120,113,National,West,OF,203,3,3,240,NW,5.4806389233,0,1,0,166464
"Young, Mike",Baltimore,369,93,9,43,42,49,5,1258,323,54,181,177,157,American,East,LF,149,1,6,350,AE,5.8579331545,0,1,0,104329
"Esasky, Nick",Cincinnati,330,76,12,35,41,47,4,1367,326,55,167,198,167,National,West,1B,512,30,5,,NW,,1,0,0,106276
"Guillen, Ozzie",Chicago,547,137,2,58,47,12,2,1038,271,3,129,80,24,American,West,SS,261,459,22,175,AW,5.1647859739,1,0,0,73441
"McDowell, Oddibe",Texas,572,152,18,105,49,65,2,978,249,36,168,91,101,American,West,CF,325,13,3,200,AW,5.2983173665,0,1,0,62001
"Moreno, Omar",Atlanta,359,84,4,46,27,21,12,4992,1257,37,699,386,387,National,West,RF,151,8,5,,NW,,0,1,0,1580049
"Smith, Ozzie",St Louis,514,144,0,67,54,79,9,4739,1169,13,583,374,528,National,East,SS,229,453,15,1940,NE,7.5704432521,1,0,0,1366561
"Virgil, Ozzie",Atlanta,359,80,15,45,48,63,7,1493,359,61,176,202,175,National,West,C,682,93,13,700,NW,6.551080335,0,0,1,128881
"Bradley, Phil",Seattle,526,163,12,88,50,77,4,1556,470,38,245,167,174,American,West,LF,250,11,1,750,AW,6.6200732065,0,1,0,220900
"Garner, Phil",Houston,313,83,9,43,41,30,14,5885,1543,104,751,714,535,National,West,3B,58,141,23,450,NW,6.1092475828,1,0,0,2380849
"Incaviglia, Pete",Texas,540,135,30,82,88,55,1,540,135,30,82,88,55,American,West,RF,157,6,14,172,AW,5.1474944768,0,1,0,18225
"Molitor, Paul",Milwaukee,437,123,9,62,55,40,9,4139,1203,79,676,390,364,American,East,3B,82,170,15,1260,AE,7.1388669999,1,0,0,1447209
"O'Brien, Pete",Texas,551,160,23,86,90,87,5,2235,602,75,278,328,273,American,West,1B,1224,115,11,,AW,,1,0,0,362404
"Rose, Pete",Cincinnati,237,52,0,15,25,30,24,14053,4256,160,2165,1314,1566,National,West,1B,523,43,6,750,NW,6.6200732065,1,0,0,18113536
"Sheridan, Pat",Detroit,236,56,6,41,19,21,5,1257,329,24,166,125,105,American,East,OF,172,1,4,190,AE,5.2470240722,0,1,0,108241
"Tabler, Pat",Cleveland,473,154,6,61,48,29,6,1966,566,29,250,252,178,American,East,1B,846,84,9,580,AE,6.3630281035,1,0,0,320356
"Belliard, Rafael",Pittsburgh,309,72,0,33,31,26,5,354,82,0,41,32,26,National,East,SS,117,269,12,130,NE,4.8675344505,1,0,0,6724
"Burleson, Rick",California,271,77,5,35,29,33,12,4933,1358,48,630,435,403,American,West,UT,62,90,3,450,AW,6.1092475828,0,0,0,1844164
"Bush, Randy",Minneapolis,357,96,7,50,45,39,5,1394,344,43,178,192,136,American,West,LF,167,2,4,300,AW,5.7037824747,0,1,0,118336
"Cerone, Rick",Milwaukee,216,56,4,22,18,15,12,2796,665,43,266,304,198,American,East,C,391,44,4,250,AE,5.5214609179,0,0,1,442225
"Cey, Ron",Chicago,256,70,13,42,36,44,16,7058,1845,312,965,1128,990,National,East,3B,41,118,8,1050,NE,6.9565454432,1,0,0,3404025
"Deer, Rob",Milwaukee,466,108,33,75,86,72,3,652,142,44,102,109,102,American,East,RF,286,8,8,215,AE,5.3706380281,0,1,0,20164
"Dempsey, Rick",Baltimore,327,68,13,42,29,45,18,3949,939,78,438,380,466,American,East,C,659,53,7,400,AE,5.9914645471,0,0,1,881721
"Gedman, Rich",Boston,462,119,16,49,65,37,7,2131,583,69,244,288,150,American,East,C,866,65,6,,AE,,0,0,1,339889
"Hassey, Ron",New York,341,110,9,45,49,46,9,2331,658,50,249,322,274,American,East,C,251,9,4,560,AE,6.3279367837,0,0,1,432964
"Henderson, Rickey",New York,608,160,28,130,74,89,8,4071,1182,103,862,417,708,American,East,CF,426,4,6,1670,AE,7.4205789054,0,1,0,1397124
"Jackson, Reggie",California,419,101,18,65,58,92,20,9528,2510,548,1509,1659,1342,American,West,DH,0,0,0,487.5,AW,6.1892902904,0,0,0,6300100
"Jones, Ruppert",California,393,90,17,73,49,64,11,4223,1056,139,618,551,514,American,West,RF,205,5,4,,AW,,0,1,0,1115136
"Kittle, Ron",Chicago,376,82,21,42,60,35,5,1770,408,115,238,299,157,American,West,DH,0,0,0,425,AW,6.0520891689,0,0,0,166464
"Knight, Ray",New York,486,145,11,51,76,40,11,3967,1102,67,410,497,284,National,East,3B,88,204,16,500,NE,6.2146080984,1,0,0,1214404
"Kutcher, Randy",San Francisco,186,44,7,28,16,11,1,186,44,7,28,16,11,National,West,OF,99,3,1,,NW,,0,1,0,1936
"Law, Rudy",Kansas City,307,80,1,42,36,29,7,2421,656,18,379,198,184,American,West,OF,145,2,2,,AW,,0,1,0,430336
"Leach, Rick",Toronto,246,76,5,35,39,13,6,912,234,12,102,96,80,American,East,DO,44,0,1,250,AE,5.5214609179,0,0,0,54756
"Manning, Rick",Milwaukee,205,52,8,31,27,17,12,5134,1323,56,643,445,459,American,East,OF,155,3,2,400,AE,5.9914645471,0,1,0,1750329
"Mulliniks, Rance",Toronto,348,90,11,50,45,43,10,2288,614,43,295,273,269,American,East,3B,60,176,6,450,AE,6.1092475828,1,0,0,376996
"Oester, Ron",Cincinnati,523,135,8,52,44,52,9,3368,895,39,377,284,296,National,West,2B,367,475,19,750,NW,6.6200732065,1,0,0,801025
"Quinones, Rey",Boston,312,68,2,32,22,24,1,312,68,2,32,22,24,American,East,SS,86,150,15,70,AE,4.248495242,1,0,0,4624
"Ramirez, Rafael",Atlanta,496,119,8,57,33,21,7,3358,882,36,365,280,165,National,West,S3,155,371,29,875,NW,6.7742238864,0,0,0,777924
"Reynolds, R.J.",Pittsburgh,402,108,9,63,48,40,4,1034,278,16,135,125,79,National,East,LF,190,2,9,190,NE,5.2470240722,0,1,0,77284
"Roenicke, Ron",Philadelphia,275,68,5,42,42,61,6,961,238,16,128,104,172,National,East,OF,181,3,2,191,NE,5.252273428,0,1,0,56644
"Sandberg, Ryne",Chicago,627,178,14,68,76,46,6,3146,902,74,494,345,242,National,East,2B,309,492,5,740,NE,6.6066501862,1,0,0,813604
"Santana, Rafael",New York,394,86,1,38,28,36,4,1089,267,3,94,71,76,National,East,SS,203,369,16,250,NE,5.5214609179,1,0,0,71289
"Schu, Rick",Philadelphia,208,57,8,32,25,18,3,653,170,17,98,54,62,National,East,3B,42,94,13,140,NE,4.9416424226,1,0,0,28900
"Sierra, Ruben",Texas,382,101,16,50,55,22,1,382,101,16,50,55,22,American,West,OF,200,7,6,97.5,AW,4.579852378,0,1,0,10201
"Smalley, Roy",Minneapolis,459,113,20,59,57,68,12,5348,1369,155,713,660,735,American,West,DH,0,0,0,740,AW,6.6066501862,0,0,0,1874161
"Thompson, Robby",San Francisco,549,149,7,73,47,42,1,549,149,7,73,47,42,National,West,2B,255,450,17,140,NW,4.9416424226,1,0,0,22201
"Wilfong, Rob",California,288,63,3,25,33,16,10,2682,667,38,315,259,204,American,West,2B,135,257,7,341.667,AW,5.8338365785,1,0,0,444889
"Williams, Reggie",Los Angeles,303,84,4,35,32,23,2,312,87,4,39,32,23,National,West,CF,179,5,3,,NW,,0,1,0,7569
"Yount, Robin",Milwaukee,522,163,9,82,46,62,13,7037,2019,153,1043,827,535,American,East,CF,352,9,1,1000,AE,6.907755279,0,1,0,4076361
"Balboni, Steve",Kansas City,512,117,29,54,88,43,6,1750,412,100,204,276,155,American,West,1B,1236,98,18,100,AW,4.605170186,1,0,0,169744
"Bradley, Scott",Seattle,220,66,5,20,28,13,3,290,80,5,27,31,15,American,West,C,281,21,3,90,AW,4.4998096703,0,0,1,6400
"Bream, Sid",Pittsburgh,522,140,16,73,77,60,4,730,185,22,93,106,86,National,East,1B,1320,166,17,200,NE,5.2983173665,1,0,0,34225
"Buechele, Steve",Texas,461,112,18,54,54,35,2,680,160,24,76,75,49,American,West,3B,111,226,11,135,AW,4.9052747784,1,0,0,25600
"Dunston, Shawon",Chicago,581,145,17,66,68,21,2,831,210,21,106,86,40,National,East,SS,320,465,32,155,NE,5.0434251169,1,0,0,44100
"Fletcher, Scott",Texas,530,159,3,82,50,47,6,1619,426,11,218,149,163,American,West,SS,196,354,15,475,AW,6.163314804,1,0,0,181476
"Garvey, Steve",San Diego,557,142,21,58,81,23,18,8759,2583,271,1138,1299,478,National,West,1B,1160,53,7,1450,NW,7.2793188354,1,0,0,6671889
"Jeltz, Steve",Philadelphia,439,96,0,44,36,65,4,711,148,1,68,56,99,National,East,SS,229,406,22,150,NE,5.0106352941,1,0,0,21904
"Lombardozzi, Steve",Minneapolis,453,103,8,53,33,52,2,507,123,8,63,39,58,American,West,2B,289,407,6,105,AW,4.6539603502,1,0,0,15129
"Owen, Spike",Seattle,528,122,1,67,45,51,4,1716,403,12,211,146,155,American,West,SS,209,372,17,350,AW,5.8579331545,1,0,0,162409
"Sax, Steve",Los Angeles,633,210,6,91,56,59,6,3070,872,19,420,230,274,National,West,2B,367,432,16,90,NW,4.4998096703,1,0,0,760384
"Armas, Tony",Boston,425,112,11,40,58,24,11,4513,1134,224,542,727,230,American,East,CF,247,4,8,,AE,,0,1,0,1285956
"Bernazard, Tony",Cleveland,562,169,17,88,73,53,8,3181,841,61,450,342,373,American,East,2B,351,442,17,530,AE,6.2728770065,1,0,0,707281
"Brookens, Tom",Detroit,281,76,3,42,25,20,8,2658,657,48,324,300,179,American,East,UT,106,144,7,341.667,AE,5.8338365785,0,0,0,431649
"Brunansky, Tom",Minneapolis,593,152,23,69,75,53,6,2765,686,133,369,384,321,American,West,RF,315,10,6,940,AW,6.8458798753,0,1,0,470596
"Fernandez, Tony",Toronto,687,213,10,91,65,27,4,1518,448,15,196,137,89,American,East,SS,294,445,13,350,AE,5.8579331545,1,0,0,200704
"Flannery, Tim",San Diego,368,103,3,48,28,54,8,1897,493,9,207,162,198,National,West,2B,209,246,3,326.667,NW,5.7889413034,1,0,0,243049
"Foley, Tom",Montreal,263,70,1,26,23,30,4,888,220,9,83,82,86,National,East,UT,81,147,4,250,NE,5.5214609179,0,0,0,48400
"Gwynn, Tony",San Diego,642,211,14,107,59,52,5,2364,770,27,352,230,193,National,West,RF,337,19,4,740,NW,6.6066501862,0,1,0,592900
"Harper, Terry",Atlanta,265,68,8,26,30,29,7,1337,339,32,135,163,128,National,West,OF,92,5,3,425,NW,6.0520891689,0,1,0,114921
"Harrah, Toby",Texas,289,63,7,36,41,44,17,7402,1954,195,1115,919,1153,American,West,2B,166,211,7,,AW,,1,0,0,3818116
"Herr, Tommy",St Louis,559,141,2,48,61,73,8,3162,874,16,421,349,359,National,East,2B,352,414,9,925,NE,6.8297937375,1,0,0,763876
"Hulett, Tim",Chicago,520,120,17,53,44,21,4,927,227,22,106,80,52,American,West,3B,70,144,11,185,AW,5.2203558251,1,0,0,51529
"Kennedy, Terry",San Diego,432,114,12,46,57,37,9,3373,916,82,347,477,238,National,West,C,692,70,8,920,NW,6.82437367,0,0,1,839056
"Landrum, Tito",St Louis,205,43,2,24,17,20,7,854,219,12,105,99,71,National,East,OF,131,6,1,286.667,NE,5.6583212634,0,1,0,47961
"Laudner, Tim",Minneapolis,193,47,10,21,29,24,6,1136,256,42,129,139,106,American,West,C,299,13,5,245,AW,5.5012582105,0,0,1,65536
"O'Malley, Tom",Baltimore,181,46,1,19,18,17,5,937,238,9,88,95,104,American,East,3B,37,98,9,,AE,,1,0,0,56644
"Paciorek, Tom",Texas,213,61,4,17,22,3,17,4061,1145,83,488,491,244,American,West,UT,178,45,4,235,AW,5.4595855141,0,0,0,1311025
"Pena, Tony",Pittsburgh,510,147,10,56,52,53,7,2872,821,63,307,340,174,National,East,C,810,99,18,1150,NE,7.0475172214,0,0,1,674041
"Pendleton, Terry",St Louis,578,138,1,56,59,34,3,1399,357,7,149,161,87,National,East,3B,133,371,20,160,NE,5.0751738152,1,0,0,127449
"Perez, Tony",Cincinnati,200,51,2,14,29,25,23,9778,2732,379,1272,1652,925,National,West,1B,398,29,7,,NW,,1,0,0,7463824
"Phillips, Tony",Oakland,441,113,5,76,52,76,5,1546,397,17,226,149,191,American,West,2B,160,290,11,425,AW,6.0520891689,1,0,0,157609
"Puhl, Terry",Houston,172,42,3,17,14,15,10,4086,1150,57,579,363,406,National,West,OF,65,0,0,900,NW,6.8023947633,0,1,0,1322500
"Raines, Tim",Montreal,580,194,9,91,62,78,8,3372,1028,48,604,314,469,National,East,LF,270,13,6,,NE,,0,1,0,1056784
"Simmons, Ted",Atlanta,127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,National,West,UT,167,18,6,500,NW,6.2146080984,0,0,0,5769604
"Teufel, Tim",New York,279,69,4,35,31,32,4,1359,355,31,180,148,158,National,East,2B,133,173,9,277.5,NE,5.6258209332,1,0,0,126025
"Wallach, Tim",Montreal,480,112,18,50,71,44,7,3031,771,110,338,406,239,National,East,3B,94,270,16,750,NE,6.6200732065,1,0,0,594441
"Coleman, Vince",St Louis,600,139,0,94,29,60,2,1236,309,1,201,69,110,National,East,LF,300,12,9,160,NE,5.0751738152,0,1,0,95481
"Hayes, Von",Philadelphia,610,186,19,107,98,74,6,2728,753,69,399,366,286,National,East,1B,1182,96,13,1300,NE,7.1701195434,1,0,0,567009
"Law, Vance",Montreal,360,81,5,37,44,37,7,2268,566,41,279,257,246,National,East,2B,170,284,3,525,NE,6.2633982626,1,0,0,320356
"Backman, Wally",New York,387,124,1,67,27,36,7,1775,506,6,272,125,194,National,East,2B,186,290,17,550,NE,6.3099182782,1,0,0,256036
"Boggs, Wade",Boston,580,207,8,107,71,105,5,2778,978,32,474,322,417,American,East,3B,121,267,19,1600,AE,7.3777589082,1,0,0,956484
"Clark, Will",San Francisco,408,117,11,66,41,34,1,408,117,11,66,41,34,National,West,1B,942,72,11,120,NW,4.7874917428,1,0,0,13689
"Joyner, Wally",California,593,172,22,82,100,57,1,593,172,22,82,100,57,American,West,1B,1222,139,15,165,AW,5.1059454739,1,0,0,29584
"Krenchicki, Wayne",Montreal,221,53,2,21,23,22,8,1063,283,15,107,124,106,National,East,13,325,58,6,,NE,,0,0,0,80089
"McGee, Willie",St Louis,497,127,7,65,48,37,5,2703,806,32,379,311,138,National,East,CF,325,9,3,700,NE,6.551080335,0,1,0,649636
"Randolph, Willie",New York,492,136,5,76,50,94,12,5511,1511,39,897,451,875,American,East,2B,313,381,20,875,AE,6.7742238864,1,0,0,2283121
"Tolleson, Wayne",Chicago,475,126,3,61,43,52,6,1700,433,7,217,93,146,American,West,3B,37,113,7,385,AW,5.9532433343,1,0,0,187489
"Upshaw, Willie",Toronto,573,144,9,85,60,78,8,3198,857,97,470,420,332,American,East,1B,1314,131,12,960,AE,6.8669332845,1,0,0,734449
"Wilson, Willie",Kansas City,631,170,9,77,44,31,11,4908,1457,30,775,357,249,American,West,CF,408,4,3,1000,AW,6.907755279,0,1,0,2122849
